SiteEnergyUse(kBtu),GHGEmissions(MetricTonsCO2e),GHGEmissionsIntensity(kgCO2e/ft2),GHGEmissions(MetricTonsCO2e)_log,SiteEnergyUse(kBtu)_log
1521329.0,15.1,0.15,2.7788192719904172,14.23509551023312
3072599.0,97.38,0.98,4.588837531367194,14.938034666678696
3864699.0,138.87,2.58,4.940713419791213,15.16739461732745
3939221.0,127.52,0.92,4.856084534247658,15.186493799847009
3298570.0,88.4,1.16,4.493120682179469,15.00899990234898
2033074.0,14.17,0.08,2.719319793360441,14.525059983223672
6935723.0,150.23,0.68,5.018801856762649,15.752196004263233
1612965.0,11.24,0.08,2.50470927708418,14.29358527814991
7753080.0,208.03,1.17,5.342477782333691,15.863600870715203
8747819.0,181.93,0.54,5.209103566003207,15.984315084435417
2447651.0,53.45,0.59,3.9972828493789696,14.710639755646364
2266570.0,39.29,0.47,3.696103299203256,14.633778674705178
3265995.0,82.55,0.75,4.425445255041403,14.999075327772054
4418055.0,123.02,0.81,4.820442842921731,15.301210338300608
8050977.0,202.97,0.77,5.317972924206478,15.90130413269858
1841968.0,49.08,0.71,3.913621726791843,14.426345666122655
3349666.0,53.27,0.65,3.9939715880753135,15.02437149587537
8835104.0,65.14,0.22,4.191773707553646,15.994243548215398
3091559.0,80.49,1.31,4.400480313332128,14.944186375846769
8728584.0,119.09,0.36,4.788241461672592,15.982113829913452
4998015.0,177.1,1.16,5.182345190295616,15.424551591652422
1738724.0,52.94,0.43,3.987872317711584,14.368662643971204
5674450.0,212.02,1.27,5.36138605801502,15.55148437656401
2721646.0,32.75,0.34,3.518980417318539,14.816747769728003
1911611.0,62.2,1.25,4.146304301152812,14.463457423130341
5436057.0,178.5,1.24,5.190175207928333,15.50856472380626
2075833.0,42.8,0.54,3.7796338173824005,14.545873558606473
4213726.0,56.96,0.32,4.059753117452481,15.253858087194537
2364351.0,44.06,0.54,3.8079949350040985,14.676014546592802
1362993.0,17.86,0.22,2.937043277205311,14.125194308614688
6056481.0,206.3,3.01,5.334167019441734,15.616639661421038
1227290.0,8.56,0.06,2.25758772706331,14.020319859388337
2933003.0,138.96,1.94,4.9413566674994875,14.891537711749997
1527917.0,26.55,0.38,3.3160025355989236,14.239416582347124
1786986.0,12.46,0.06,2.599722324216582,14.396041519352933
1212551.0,8.45,0.06,2.2460147415056513,14.00823778747211
2223321.0,30.27,0.31,3.44265917146975,14.614513031759431
516216.0,8.66,0.09,2.2679936482244267,13.15428249869609
7564604.0,175.9,0.74,5.17558460116574,15.838990689697303
3918038.0,127.73,2.31,4.857717187671543,15.181101831495274
2003474.0,105.92,1.9,4.672080891270718,14.510393730817269
3045139.0,43.78,0.65,3.8017616111706087,14.929057435080718
2349950.0,80.79,1.35,4.4041549867468825,14.669905034839125
4864408.0,144.53,1.3,4.980382250925235,15.397455786264064
2654755.0,68.3,0.82,4.238444906195857,14.791863306363359
2295845.0,38.55,0.41,3.677565694213663,14.646611961001357
3773040.0,65.33,0.39,4.194642283537465,15.143391865571742
2414679.0,16.83,0.1,2.8808824318750488,14.69707733111324
1912904.0,47.96,0.76,3.8910036382040705,14.46413358696973
2404644.0,56.51,0.88,4.051958845725663,14.692912841479087
7971886.0,202.07,0.89,5.313550747188626,15.891431785603222
1372706.0,45.32,1.04,3.83557383326474,14.13229526066581
3780078.0,26.35,0.05,3.3087165288679903,15.14525546684828
4829951.0,61.62,0.55,4.1370847158982595,15.390347087691175
3137206.0,152.04,2.31,5.030699325131997,14.958843471607207
7546235.0,94.89,0.32,4.56320170116559,15.836559453864947
3655453.0,25.48,0.13,3.2763897310688073,15.111730856858463
4112006.0,50.6,0.38,3.9435216724875173,15.229421788450319
4742636.0,37.14,0.19,3.641263600172273,15.372103868091513
3157579.0,22.01,0.05,3.1359289040472746,14.965316469386215
3098638.0,69.18,0.53,4.2510633701550695,14.94647354079443
6289567.0,73.39,0.55,4.30932152420325,15.654402945872862
4025787.0,28.07,0.08,3.3697067145707846,15.208231226070618
6299357.0,43.92,0.08,3.8048831298702424,15.655958281407214
1869575.0,82.43,0.63,4.424007956913983,14.441222225153915
6471427.0,144.17,1.42,4.9779054694733365,15.682907353097724
1113488.0,55.69,1.06,4.037597828336212,13.9230088868701
6743116.0,47.01,0.1,3.8714093225428488,15.72403283889349
3415305.0,63.32,1.0,4.163870624870711,15.04377765165798
4547379.0,153.73,2.54,5.041681662501581,15.330061800900898
6525887.0,47.24,0.2,3.87618855241893,15.691287593867385
6474724.0,191.83,1.27,5.261808971731513,15.683416693605484
5680701.0,39.6,0.19,3.703768066607687,15.552585374609823
7758182.0,138.28,0.88,4.936486295459933,15.864258715257595
6664740.0,72.46,0.34,4.296741040391521,15.712341651124959
7456330.0,51.98,0.18,3.9699144838439238,15.824574028139013
2876857.0,20.06,0.13,3.0473755067058295,14.872209284346525
6578370.0,212.06,1.41,5.361573816183052,15.69929770426233
3999310.0,72.9,0.94,4.302712827954156,15.20163265424743
7524880.0,52.46,0.15,3.978933710710773,15.833725554520683
5543575.0,38.65,0.13,3.680090948080857,15.528150337850724
3925806.0,27.37,0.12,3.34533224882076,15.183082493160356
2721954.0,52.67,0.84,3.9828541861887374,14.816860930095102
1912690.0,13.33,0.04,2.6623552418400807,14.464021708977269
3037572.0,132.56,2.2,4.894550815075454,14.926569399263965
1358022.0,9.47,0.03,2.3485140248824456,14.12154052362893
624180.0,4.49,0.02,1.7029282555214393,13.34419566939367
4842910.0,33.76,0.09,3.548467300397191,15.39302654417748
6388260.0,44.54,0.08,3.8185910606355935,15.669972645340865
4428557.0,30.87,0.16,3.461665128429245,15.303584581131446
6057734.0,42.23,0.18,3.7665346986795405,15.616846525802693
6022054.0,41.98,0.13,3.7607348912143643,15.610939121160454
4843538.0,33.77,0.24,3.5487549460197703,15.393156209844651
4099807.0,88.5,1.38,4.4942386252808095,15.22645070130972
4664399.0,32.52,0.09,3.5121422756138823,15.355469766628314
5820965.0,41.16,0.09,3.741471904233107,15.57697678531601
5266498.0,36.71,0.1,3.6299253112702656,15.47687637337929
7905095.0,62.01,0.11,4.143293443953964,15.883018172764492
3060149.0,37.62,0.2,3.653770277000368,14.933974492334984
7380088.0,127.78,0.49,4.858105522110037,15.814296256124535
8690179.0,75.43,0.13,4.336375289254793,15.977704210490806
2654804.0,66.6,0.89,4.213607983048918,14.79188176363318
3316933.0,23.12,0.1,3.1830413718589847,15.014551420233493
3693616.0,25.75,0.11,3.2865344733420154,15.122116752720096
3594908.0,25.06,0.11,3.260401571696699,15.095029235882276
3158743.0,22.02,0.1,3.1363634032937364,14.965685038197181
3132453.0,21.84,0.1,3.1285133847878095,14.957327280887954
1082531.0,21.38,0.18,3.108167702883779,13.894813299622783
4476997.0,134.69,1.63,4.910372872157861,15.314463290495283
6619941.0,46.15,0.28,3.8533340090794663,15.705597166545505
2512319.0,93.67,0.37,4.5503971601407995,14.736717186992028
7261732.0,87.03,0.45,4.4776776654728145,15.798129063549577
884314.0,14.65,0.12,2.750470916986162,13.692568612989227
8611054.0,154.6,2.52,5.047288611744291,15.968557400837094
4734631.0,33.02,0.1,3.5269485869677157,15.37041456246904
4045980.0,28.21,0.12,3.3745111163996495,15.213234600702757
5471735.0,38.15,0.15,3.667400422436812,15.515106491506632
7838600.0,54.65,0.05,4.019082077721554,15.874570932526037
1272814.0,15.25,0.12,2.7880929087757464,14.056741540977127
183521.0,5.54,0.08,1.8779371654691073,12.120089830298584
1118392.0,23.84,0.19,3.212455257065278,13.92740339150075
8070420.0,56.26,0.12,4.047602299669969,15.903716207410804
408513.0,2.85,0.02,1.3480731482996928,12.920281464420759
427697.0,2.98,0.05,1.3812818192963463,12.966172618029178
2457017.0,97.01,0.75,4.585069514281089,14.714458977483806
1465535.0,39.35,0.71,3.6975913947159578,14.197731603826252
1878979.0,30.1,0.41,3.4372078191851885,14.446239634379403
1593187.0,11.11,0.05,2.494031557565001,14.281247598250214
533078.0,3.72,0.03,1.551808799597464,13.186424909800856
